Recon 2 ID	Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD ID
3dsphgn	(2S)-1-hydroxy-3-oxooctadecan-2-aminium	KBUNOSOGGAARKZ-KRWDZBQOSA-N	17862	HMDB01480	C02934		LMSP01020002
3h26dm5coa	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA	LQMGDAUBYDSVAK-VEQIRKQXSA-N		HMDB04601	C11947	9543313	
3hanthrn	3-hydroxyanthranilate	WJXSWCUQABXPFS-UHFFFAOYSA-N	15793	HMDB01476	C00632		
3hbcoa	(S)-3-hydroxybutanoyl-CoA(4-)	QHHKKMYHDBRONY-VKBDFPRVSA-N	15453	HMDB01166	C03561	9543037	
3hbcoa_R	(R)-3-hydroxybutanoyl-CoA(4-)	QHHKKMYHDBRONY-WZZMXTMRSA-N	15452	HMDB01166	C03561	11966146	
3hdcoa	(S)-3-Hydroxydecanoyl-CoA	HIVSMYZAMUNFKZ-WQUYVQPTSA-N	28325	HMDB03938	C05264	11966158	LMFA07050014
3hddcoa	(S)-3-Hydroxydodecanoyl-CoA	IJFLXRCJWPKGKJ-AGWWUHEJSA-N	62558	HMDB03936	C05262	440603	LMFA07050012
3hdeccoa	3-hydroxyhexadecenoylcoa						
3hdececrn	3-hydroxyhexadecenoylcarnitine						
3hexdcoa	3-hydroxyhexadecanoylcoa	DEHLMTDDPWDRDR-QQOJFMBSSA-N	27402	HMDB03932	C05258	440600	
3hexdcrn	3-hydroxyhexadecanoylcarnitine	MHJOYNGEDDXLLU-LBAQZLPGSA-N		HMDB13336		53481691	
3hexdtetcoa	3,7,10,13-hexadecatetraenoylcoa						
3hexdtricoa	3,7,10-hexadecatrienoylcoa						
3hibutcoa	(S)-3-Hydroxyisobutyryl-CoA	WWEOGFZEFHPUAM-UQCJFRAESA-N	28259	HMDB01052	C06000		
3hmbcoa	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-)	PEKYNTFSOBAABV-LQUDNSJZSA-N	15449	HMDB01356	C04405	11966220	
3hmp	3-hydroxy-2-methylpropanoate	DBXBTMSZEOQQDU-UHFFFAOYSA-N	37373	HMDB00023	C06001		
3hodcoa	(S)-3-Hydroxyoctadecanoyl-CoA					49859586	
3hpcoa	3-hydroxypropanoyl-CoA(4-)	BERBFZCUSMQABM-IEXPHMLFSA-N	27762	HMDB06807	C05668	440753	
3hpp	3-hydroxypropionate	ALRHLSYJTWAHJZ-UHFFFAOYSA-N	33404	HMDB00700	C01013	68152	
3htdcoa	(S)-3-Hydroxytetradecanoyl-CoA	OXBHKMHNDGRDCZ-UOBIXJHKSA-N	62614	HMDB03934	C05260	46173488	
3htmelys	3-Hydroxy-N6,N6,N6-trimethyl-L-lysine	ZRJHLGYVUCPZNH-MQWKRIRWSA-O	15786	HMDB01422	C01259	439460	
3hxkynam	3-Hydroxykynurenamine	ODOPEICAGBYCFH-UHFFFAOYSA-N			C05636	440736	
3ityr_L	3-iodo-L-tyrosine	UQTZMGFTRHFAAM-ZETCQYMHSA-N	27847	HMDB00021	C02515	439744	
3ivcoa	3-hydroxyisovalerylcoa	PEVZKILCBDEOBT-XBTRWLRFSA-N	28291	HMDB06870	C05998	11953876	
3ivcrn	3-hydroxy-isovaleryl carnitine						
3m4hpga	3-Methoxy-4-hydroxyphenylglycolaldehyde	VISAJVAPYPFKCL-UHFFFAOYSA-N		HMDB04061	C05583	440729	
3mb2coa	3-methylbut-2-enoyl-CoA(4-)	BXIPALATIYNHJN-ZMHDXICWSA-N	15486	HMDB01493	C03069		
3mgcoa	trans-3-methylglutaconyl-CoA(5-)	ZMMFWDHIXCPOHZ-BIEWRJSYSA-N	57346	HMDB01057	C03231	5462214	
3mlda	3-Methylimidazoleacetic acid	ZHCKPJGJQOPTLB-UHFFFAOYSA-N	1606	HMDB02820	C05828	75810	
