"GSM862922_U87.1.CEL.gz"	"GSM862923_U87.2.CEL.gz"	"GSM862924_U87.3.CEL.gz"
"1553039_a_at"	"A"	"A"	"A"
"1553041_at"	"A"	"A"	"A"
"1553042_a_at"	"A"	"A"	"A"
"1553043_a_at"	"A"	"A"	"A"
"1553044_at"	"A"	"A"	"A"
"1553045_at"	"A"	"A"	"A"
"1553046_s_at"	"A"	"A"	"A"
"1553047_at"	"A"	"A"	"A"
"1553048_a_at"	"P"	"P"	"P"
"1553051_s_at"	"A"	"A"	"A"
"1553052_at"	"A"	"A"	"A"
"1553053_at"	"A"	"A"	"A"
"1553055_a_at"	"A"	"A"	"A"
"1553057_at"	"A"	"A"	"A"
"1553058_at"	"A"	"A"	"A"
"1553059_at"	"A"	"A"	"A"
"1553060_at"	"A"	"A"	"A"
"1553061_at"	"A"	"A"	"A"
"1553062_at"	"A"	"A"	"A"
"1553063_at"	"A"	"A"	"A"
"1553064_at"	"A"	"A"	"A"
"1553066_at"	"A"	"A"	"A"
"1553067_a_at"	"A"	"A"	"A"
"1553069_at"	"A"	"A"	"A"
"1553070_a_at"	"A"	"A"	"A"
"1553071_a_at"	"A"	"A"	"A"
"1553072_at"	"A"	"A"	"A"
"1553074_at"	"A"	"A"	"A"
"1553075_a_at"	"A"	"A"	"A"
"1553076_at"	"A"	"A"	"A"
"1553077_at"	"A"	"A"	"A"
"1553078_at"	"A"	"A"	"A"
"1553079_at"	"A"	"A"	"A"
"1553080_at"	"A"	"A"	"A"
"1553081_at"	"A"	"A"	"A"
"1553082_at"	"A"	"A"	"A"
"1553083_at"	"A"	"A"	"A"
"1553084_at"	"A"	"A"	"A"
"1553086_at"	"A"	"A"	"A"
"1553087_at"	"A"	"A"	"A"
"1553088_a_at"	"A"	"P"	"P"
"1553089_a_at"	"A"	"A"	"A"
"1553093_a_at"	"A"	"A"	"A"
"1553094_at"	"A"	"A"	"A"
"1553096_s_at"	"P"	"A"	"P"
"1553099_at"	"P"	"P"	"P"
"1553101_a_at"	"P"	"P"	"P"
"1553102_a_at"	"A"	"A"	"A"
"1553103_at"	"P"	"P"	"P"
"1553105_s_at"	"A"	"A"	"A"
"1553106_at"	"P"	"P"	"P"
"1553107_s_at"	"P"	"P"	"P"
"1553108_at"	"A"	"A"	"A"
"1553111_a_at"	"P"	"P"	"P"
"1553112_s_at"	"A"	"A"	"A"
"1553113_s_at"	"P"	"P"	"P"
"1553114_a_at"	"A"	"A"	"A"
"1553115_at"	"A"	"A"	"A"
"1553117_a_at"	"A"	"A"	"A"
"1553118_at"	"P"	"P"	"P"
"1553120_at"	"A"	"A"	"A"
"1553122_s_at"	"A"	"A"	"A"
"1553123_at"	"A"	"A"	"A"
"1553125_x_at"	"A"	"A"	"A"
"1553126_a_at"	"A"	"A"	"A"
"1553127_a_at"	"A"	"A"	"A"
"1553129_at"	"A"	"A"	"A"
"1553130_at"	"A"	"A"	"A"
"1553131_a_at"	"A"	"A"	"A"
"1553132_a_at"	"A"	"A"	"A"
"1553133_at"	"A"	"P"	"M"
"1553134_s_at"	"A"	"A"	"A"
"1553136_at"	"A"	"A"	"A"
"1553137_s_at"	"A"	"A"	"A"
"1553138_a_at"	"A"	"A"	"A"
"1553139_s_at"	"A"	"A"	"A"
"1553140_at"	"A"	"M"	"A"
"1553141_at"	"P"	"A"	"A"
"1553142_at"	"A"	"A"	"A"
"1553145_at"	"A"	"A"	"A"
"1553146_at"	"A"	"A"	"A"
"1553147_at"	"A"	"A"	"A"
"1553148_a_at"	"P"	"A"	"P"
"1553150_at"	"A"	"A"	"A"
"1553151_at"	"A"	"A"	"A"
"1553153_at"	"P"	"P"	"P"
"1553155_x_at"	"A"	"P"	"P"
"1553156_at"	"A"	"A"	"A"
"1553157_at"	"A"	"A"	"A"
"1553158_at"	"A"	"A"	"A"
"1553159_at"	"A"	"A"	"A"
"1553162_x_at"	"A"	"P"	"P"
"1553163_at"	"A"	"A"	"A"
"1553165_at"	"A"	"P"	"A"
"1553166_at"	"A"	"A"	"A"
"1553167_a_at"	"A"	"A"	"A"
"1553168_at"	"A"	"A"	"A"
"1553169_at"	"A"	"A"	"A"
"1553171_x_at"	"A"	"A"	"A"
"1553172_at"	"P"	"P"	"P"
