"affy_hg_u133_plus_2"	"entrezgene"
"1569629_x_at"	100506453
"227480_at"	56241
"234310_s_at"	56241
"208037_s_at"	8174
"228979_at"	NA
"1559871_s_at"	100129129
"1559870_at"	100129129
"238369_s_at"	NA
"218206_x_at"	51282
"231059_x_at"	51282
"232652_x_at"	51282
"1555564_a_at"	3426
"203854_at"	3426
"236579_at"	100506237
"240288_at"	283518
"239098_at"	283518
"217454_at"	NA
"201043_s_at"	8125
"201051_at"	8125
"201038_s_at"	8125
"235954_at"	8125
"1561165_a_at"	NA
"226313_at"	219738
"236290_at"	220164
"231980_at"	220164
"241729_at"	220164
"231356_at"	NA
"1561292_at"	NA
"231620_at"	NA
"205957_at"	26576
"206216_at"	26576
"222672_at"	57128
"218561_s_at"	57128
"232738_at"	401145
"215981_at"	100505534
"210025_s_at"	29775
"210026_s_at"	29775
"210074_at"	1515
"241112_at"	340385
"1552687_a_at"	140894
"1552686_at"	140894
"1569466_at"	140894
"203592_s_at"	10272
"1555773_at"	254240
"207890_s_at"	64386
"207289_at"	64386
"217290_at"	NA
"1562621_at"	NA
"205677_s_at"	NA
"200640_at"	7534
"1556496_a_at"	7534
"200639_s_at"	7534
"200641_s_at"	7534
"214848_at"	7534
"200638_s_at"	7534
"208627_s_at"	NA
"208628_s_at"	NA
"1560814_a_at"	90416
"225397_at"	90416
"1558648_at"	90416
"218540_at"	79178
"205582_s_at"	2687
"1562973_at"	NA
"225021_at"	55205
"220617_s_at"	55205
"1562972_at"	503519
"200606_at"	1832
"201887_at"	3597
"201888_s_at"	3597
"211612_s_at"	3597
"210904_s_at"	3597
"244125_at"	NA
"242136_x_at"	NA
"209425_at"	23600
"209426_s_at"	23600
"236365_at"	23600
"209424_s_at"	23600
"217111_at"	23600
"226849_at"	57706
"219763_at"	57706
"229517_at"	138639
"238841_at"	138639
"224473_x_at"	84445
"232129_s_at"	84445
"1555881_s_at"	84445
"233021_at"	100505538
"1568807_a_at"	100505538
"1561713_at"	NA
"230901_x_at"	54760
"219193_at"	55100
"202800_at"	6507
"1569054_at"	6507
"1560832_at"	NA
"1565775_at"	NA
"214140_at"	8034
"1560877_a_at"	NA
"1552955_at"	83655
"223001_at"	58505
"223001_at"	646567
"217960_s_at"	56993
"222474_s_at"	56993
