"GSM556748.CEL.gz"	"GSM556750.CEL.gz"	"GSM556751.CEL.gz"
"201007_at"	"P"	"P"	"P"
"201008_s_at"	"P"	"P"	"P"
"201009_s_at"	"P"	"P"	"P"
"201010_s_at"	"P"	"P"	"P"
"201011_at"	"P"	"P"	"P"
"201012_at"	"P"	"P"	"P"
"201013_s_at"	"P"	"P"	"P"
"201014_s_at"	"P"	"P"	"P"
"201015_s_at"	"A"	"A"	"A"
"201016_at"	"P"	"P"	"P"
"201017_at"	"P"	"P"	"P"
"201018_at"	"P"	"P"	"P"
"201019_s_at"	"P"	"P"	"P"
"201020_at"	"P"	"P"	"P"
"201021_s_at"	"P"	"P"	"P"
"201022_s_at"	"P"	"P"	"P"
"201023_at"	"P"	"P"	"P"
"201024_x_at"	"P"	"P"	"P"
"201025_at"	"P"	"P"	"P"
"201026_at"	"P"	"P"	"P"
"201027_s_at"	"P"	"P"	"P"
"201028_s_at"	"P"	"P"	"P"
"201029_s_at"	"P"	"P"	"P"
"201030_x_at"	"P"	"P"	"P"
"201031_s_at"	"P"	"P"	"P"
"201032_at"	"P"	"P"	"P"
"201033_x_at"	"P"	"P"	"P"
"201034_at"	"P"	"P"	"P"
"201035_s_at"	"P"	"P"	"P"
"201036_s_at"	"P"	"P"	"P"
"201037_at"	"P"	"P"	"P"
"201038_s_at"	"P"	"P"	"P"
"201039_s_at"	"P"	"P"	"P"
"201040_at"	"P"	"P"	"P"
"201041_s_at"	"P"	"P"	"P"
"201042_at"	"P"	"P"	"P"
"201043_s_at"	"P"	"P"	"P"
"201044_x_at"	"P"	"P"	"P"
"201045_s_at"	"A"	"A"	"A"
"201046_s_at"	"P"	"P"	"P"
"201047_x_at"	"P"	"P"	"P"
"201048_x_at"	"M"	"P"	"P"
"201049_s_at"	"P"	"P"	"P"
"201050_at"	"P"	"P"	"P"
"201051_at"	"P"	"P"	"P"
"201052_s_at"	"P"	"P"	"P"
"201053_s_at"	"P"	"P"	"P"
"201054_at"	"P"	"P"	"P"
"201055_s_at"	"P"	"P"	"P"
"201056_at"	"P"	"P"	"P"
"201057_s_at"	"P"	"P"	"P"
"201058_s_at"	"P"	"P"	"P"
"201059_at"	"P"	"P"	"P"
"201060_x_at"	"P"	"P"	"P"
"201061_s_at"	"P"	"P"	"P"
"201062_at"	"A"	"A"	"A"
"201063_at"	"P"	"P"	"P"
"201064_s_at"	"P"	"P"	"P"
"201065_s_at"	"P"	"P"	"P"
"201066_at"	"P"	"P"	"P"
"201067_at"	"P"	"P"	"P"
"201068_s_at"	"P"	"P"	"P"
"201069_at"	"P"	"P"	"P"
"201070_x_at"	"P"	"P"	"P"
"201071_x_at"	"P"	"P"	"P"
"201072_s_at"	"M"	"P"	"P"
"201073_s_at"	"P"	"P"	"P"
"201074_at"	"P"	"P"	"P"
"201075_s_at"	"P"	"P"	"P"
"201076_at"	"P"	"P"	"P"
"201077_s_at"	"P"	"P"	"P"
"201078_at"	"P"	"P"	"P"
"201079_at"	"P"	"P"	"P"
"201080_at"	"P"	"P"	"P"
"201081_s_at"	"P"	"P"	"P"
"201082_s_at"	"P"	"P"	"P"
"201083_s_at"	"P"	"P"	"P"
"201084_s_at"	"P"	"P"	"P"
"201085_s_at"	"P"	"P"	"P"
"201086_x_at"	"P"	"P"	"P"
"201087_at"	"P"	"P"	"P"
"201088_at"	"P"	"P"	"P"
"201089_at"	"P"	"P"	"P"
"201090_x_at"	"P"	"P"	"P"
"201091_s_at"	"P"	"P"	"P"
"201092_at"	"P"	"P"	"P"
"201093_x_at"	"P"	"P"	"P"
"201094_at"	"P"	"P"	"P"
"201095_at"	"P"	"P"	"P"
"201096_s_at"	"P"	"P"	"P"
"201097_s_at"	"P"	"P"	"P"
"201098_at"	"P"	"P"	"P"
"201099_at"	"P"	"P"	"P"
"201100_s_at"	"P"	"P"	"P"
"201101_s_at"	"P"	"P"	"P"
"201102_s_at"	"P"	"P"	"P"
"201103_x_at"	"P"	"P"	"P"
"201104_x_at"	"P"	"P"	"P"
"201105_at"	"P"	"P"	"P"
"201106_at"	"P"	"P"	"P"
"201107_s_at"	"A"	"A"	"A"
"201108_s_at"	"A"	"A"	"M"
"201109_s_at"	"A"	"A"	"P"
"201110_s_at"	"A"	"A"	"P"
"201111_at"	"P"	"P"	"P"
"201112_s_at"	"P"	"P"	"P"
"201113_at"	"P"	"P"	"P"
"201114_x_at"	"P"	"P"	"P"
"201115_at"	"P"	"P"	"P"
"201116_s_at"	"A"	"M"	"P"
"201117_s_at"	"P"	"P"	"P"
"201118_at"	"P"	"P"	"P"
"201119_s_at"	"P"	"P"	"P"
"201120_s_at"	"P"	"P"	"P"
"201121_s_at"	"P"	"P"	"P"
"201122_x_at"	"P"	"P"	"P"
"201123_s_at"	"P"	"P"	"P"
"201124_at"	"P"	"P"	"P"
"201125_s_at"	"P"	"P"	"P"
"201126_s_at"	"P"	"P"	"P"
"201127_s_at"	"P"	"P"	"P"
"201128_s_at"	"P"	"P"	"P"
"201129_at"	"P"	"P"	"P"
"201130_s_at"	"A"	"A"	"A"
"201131_s_at"	"A"	"A"	"A"
"201132_at"	"P"	"P"	"P"
"201133_s_at"	"P"	"P"	"P"
"201134_x_at"	"P"	"P"	"P"
"201135_at"	"P"	"P"	"P"
"201136_at"	"P"	"P"	"P"
"201137_s_at"	"P"	"P"	"P"
"201138_s_at"	"P"	"P"	"P"
"201139_s_at"	"P"	"P"	"P"
"201140_s_at"	"P"	"P"	"P"
"201141_at"	"P"	"P"	"P"
"201142_at"	"P"	"P"	"P"
"201143_s_at"	"P"	"P"	"P"
"201144_s_at"	"P"	"P"	"P"
"201145_at"	"P"	"P"	"P"
"201146_at"	"P"	"P"	"P"
"201147_s_at"	"A"	"A"	"P"
"201148_s_at"	"A"	"A"	"P"
"201149_s_at"	"A"	"A"	"P"
"201150_s_at"	"A"	"P"	"P"
"201151_s_at"	"P"	"P"	"P"
"201152_s_at"	"P"	"P"	"P"
